subregion,country,deaths_among_cases,confirmed_cases,suspected_cases
South Cone,Brazil,0,0,0
South Cone,Brazil,0,8,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
Andean,Colombia,0,66,75
Andean,Colombia,0,83,94
Andean,Colombia,0,66,210
Latin Caribbean,Haiti,0,0,3
Andean,Colombia,0,30,324
Latin Caribbean,Haiti,0,0,0
Andean,Colombia,0,47,544
Andean,Colombia,0,30,1105
Latin Caribbean,Haiti,0,0,0
Non Latin Caribbean,Suriname,0,11,6
South Cone,Brazil,0,0,0
Latin Caribbean,Haiti,0,0,0
Andean,Colombia,0,51,1183
Central America,Guatemala,0,1,21
Latin Caribbean,Haiti,0,0,0
Central America,Panamá,0,0,0
Central America,El Salvador,0,0,100
Andean,Colombia,0,61,1288
Central America,El Salvador,0,3,348
Latin Caribbean,Haiti,0,0,0
North America,Mexico,0,2,0
South Cone,Paraguay,0,6,0
Andean,Venezuela,0,4,0
South Cone,Brazil,3,0,0
Andean,Colombia,0,78,1637
Central America,El Salvador,0,0,846
Latin Caribbean,Haiti,0,0,0
Andean,Colombia,0,81,1580
Latin Caribbean,Haiti,0,0,5
Central America,El Salvador,0,0,914
Andean,Colombia,0,95,1917
Latin Caribbean,Haiti,0,0,0
Central America,Honduras,0,2,0
Central America,Panamá,0,20,0
Central America,El Salvador,0,0,753
Andean,Colombia,0,116,1642
Latin Caribbean,Haiti,0,0,2
Central America,Honduras,0,0,55
Central America,El Salvador,0,0,1172
Andean,Colombia,0,183,1545
Central America,El Salvador,0,0,847
Central America,Guatemala,0,67,33
Latin Caribbean,Haiti,0,0,2
Central America,Honduras,0,0,62
North America,Mexico,0,13,0
Central America,Panamá,0,2,0
Latin Caribbean,Puerto Rico,0,9,0
Non Latin Caribbean,Barbados,0,3,12
Andean,Bolivia,0,0,0
Andean,Colombia,0,310,2370
Andean,Ecuador,0,2,7
Latin Caribbean,French Guiana,0,7,42
Latin Caribbean,Haiti,0,5,21
Central America,Honduras,0,0,960
Latin Caribbean,Martinique,0,12,415
Central America,Panamá,0,4,0
Latin Caribbean,Puerto Rico,0,4,0
Non Latin Caribbean,Guyana,0,1,0
Andean,Bolivia,0,1,0
Andean,Colombia,0,477,2749
Andean,Ecuador,0,5,7
Latin Caribbean,French Guiana,0,39,97
Latin Caribbean,Guadeloupe,0,1,0
Central America,Guatemala,0,37,52
Latin Caribbean,Haiti,0,0,23
Central America,Honduras,0,0,1804
Latin Caribbean,Martinique,0,0,604
Latin Caribbean,Puerto Rico,0,4,0
Latin Caribbean,Saint Martin,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,1,0
Andean,Colombia,0,539,3933
Andean,Ecuador,0,6,7
Latin Caribbean,French Guiana,0,29,106
Latin Caribbean,Guadeloupe,0,9,37
Latin Caribbean,Haiti,0,0,192
Central America,Honduras,0,0,2229
Latin Caribbean,Martinique,0,0,1064
Latin Caribbean,Puerto Rico,0,4,0
Non Latin Caribbean,Curacao,0,1,0
Andean,Colombia,0,484,5477
Central America,Costa Rica,0,1,0
Andean,Ecuador,0,12,7
Latin Caribbean,French Guiana,0,13,185
Latin Caribbean,Guadeloupe,0,7,61
Latin Caribbean,Haiti,0,0,252
Central America,Honduras,0,0,2374
Non Latin Caribbean,Jamaica,0,1,66
Latin Caribbean,Martinique,0,0,1645
Central America,Nicaragua,0,4,0
Non Latin Caribbean,Suriname,1,76,330
Andean,Venezuela,0,0,2062
Latin Caribbean,Puerto Rico,0,9,0
Andean,Colombia,0,307,6056
Central America,Nicaragua,0,27,0
Non Latin Caribbean,Barbados,0,4,36
Central America,Nicaragua,0,20,0
North America,Mexico,0,13,0
Andean,Venezuela,0,0,0
Andean,Venezuela,0,0,1
Andean,Venezuela,0,0,0
Andean,Venezuela,0,0,0
Andean,Venezuela,0,0,0
Andean,Venezuela,0,0,1
Andean,Venezuela,0,0,0
Andean,Venezuela,0,4,4
Andean,Venezuela,0,14,20
Andean,Venezuela,0,27,17
Andean,Venezuela,0,27,16
Andean,Venezuela,0,22,6
Andean,Venezuela,0,40,237
Andean,Venezuela,0,40,505
Andean,Venezuela,0,40,1026
Andean,Venezuela,0,41,4590
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,0
Non Latin Caribbean,Barbados,0,0,32
Non Latin Caribbean,Barbados,0,0,54
Non Latin Caribbean,Barbados,0,0,74
Non Latin Caribbean,Barbados,0,0,83
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
Andean,Bolivia,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,230,0
South Cone,Brazil,0,270,0
South Cone,Brazil,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Non Latin Caribbean,Curacao,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,0
Latin Caribbean,Dominican Republic,0,0,12
Latin Caribbean,Dominican Republic,0,0,18
Latin Caribbean,Dominican Republic,0,10,58
Latin Caribbean,Dominican Republic,0,0,77
Latin Caribbean,Dominican Republic,0,8,119
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,0
Andean,Ecuador,0,0,7
Central America,El Salvador,0,0,0
Central America,El Salvador,0,0,0
Central America,El Salvador,0,0,16
Central America,El Salvador,0,0,12
Central America,El Salvador,0,0,18
Central America,El Salvador,0,0,49
Central America,El Salvador,0,4,1076
Central America,El Salvador,0,3,1052
Central America,El Salvador,0,3,895
Central America,El Salvador,0,3,846
Central America,El Salvador,0,3,652
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,0,0
Latin Caribbean,French Guiana,0,11,198
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,0
Latin Caribbean,Guadeloupe,0,0,24
Central America,Guatemala,0,0,0
Central America,Guatemala,0,0,0
Central America,Guatemala,0,0,0
Central America,Guatemala,0,0,0
Central America,Guatemala,0,0,0
Central America,Guatemala,0,0,0
Central America,Guatemala,0,7,28
Central America,Guatemala,0,12,52
Central America,Guatemala,0,12,59
Central America,Guatemala,0,12,49
Central America,Guatemala,0,12,46
Central America,Guatemala,0,12,51
Central America,Guatemala,0,11,38
Central America,Guatemala,0,12,87
Central America,Guatemala,0,12,88
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Non Latin Caribbean,Guyana,0,0,0
Latin Caribbean,Haiti,0,0,0
Latin Caribbean,Haiti,0,0,0
Latin Caribbean,Haiti,0,0,291
Central America,Honduras,0,0,0
Central America,Honduras,0,0,0
Central America,Honduras,0,0,0
Central America,Honduras,0,0,0
Central America,Honduras,0,0,0
Central America,Honduras,0,0,0
Central America,Honduras,0,0,0
Central America,Honduras,0,0,0
Central America,Honduras,0,0,0
Central America,Honduras,0,0,0
Central America,Honduras,0,0,2559
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,1
Non Latin Caribbean,Jamaica,0,0,0
Non Latin Caribbean,Jamaica,0,0,2
Non Latin Caribbean,Jamaica,0,0,3
Non Latin Caribbean,Jamaica,0,0,5
Non Latin Caribbean,Jamaica,0,0,11
Non Latin Caribbean,Jamaica,0,1,15
Non Latin Caribbean,Jamaica,0,0,162
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,0
Latin Caribbean,Martinique,0,0,179
Latin Caribbean,Martinique,0,0,1189
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,0,0
North America,Mexico,0,3,0
North America,Mexico,0,16,0
North America,Mexico,0,30,0
North America,Mexico,0,15,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Nicaragua,0,0,0
Central America,Panamá,0,0,0
Central America,Panamá,0,0,0
Central America,Panamá,0,0,0
Central America,Panamá,0,0,0
Central America,Panamá,0,0,0
Central America,Panamá,0,0,0
Central America,Panamá,0,4,0
Central America,Panamá,0,0,0
Central America,Panamá,0,5,0
Central America,Panamá,0,8,0
Central America,Panamá,0,3,0
Central America,Panamá,0,4,0
Central America,Panamá,0,4,0
Central America,Panamá,0,14,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
South Cone,Paraguay,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,0,0
Latin Caribbean,Puerto Rico,0,57,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,1,0
Latin Caribbean,Saint Martin,0,0,0
Latin Caribbean,Saint Martin,0,0,3
Latin Caribbean,Saint Martin,0,5,14
Latin Caribbean,Saint Martin,0,2,18
Non Latin Caribbean,Suriname,0,3,1
Non Latin Caribbean,Suriname,0,5,2
Non Latin Caribbean,Suriname,0,3,3
Non Latin Caribbean,Suriname,0,3,1
Non Latin Caribbean,Suriname,0,11,3
Non Latin Caribbean,Suriname,0,11,46
Non Latin Caribbean,Suriname,0,18,29
Non Latin Caribbean,Suriname,0,20,61
Non Latin Caribbean,Suriname,0,33,60
Non Latin Caribbean,Suriname,0,14,59
Non Latin Caribbean,Suriname,0,22,37
Non Latin Caribbean,Suriname,0,17,38
Non Latin Caribbean,Suriname,2,68,53
Non Latin Caribbean,Suriname,1,53,172
Non Latin Caribbean,Suriname,0,85,288
Non Latin Caribbean,Suriname,0,32,307
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,Aruba,0,4,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Aruba,0,0,0
Non Latin Caribbean,Bonaire,0,1,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Non Latin Caribbean,Bonaire,0,0,0
Central America,Nicaragua,0,26,0
Non Latin Caribbean,Trinidad and Tobago,0,1,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
Non Latin Caribbean,Trinidad and Tobago,0,0,0
South Cone,Brazil,0,0,0
South Cone,Brazil,0,526,0
Central America,Panamá,0,14,0
Central America,Panamá,0,20,0
Latin Caribbean,French Guiana,0,11,203
Latin Caribbean,Guadeloupe,0,8,78
Latin Caribbean,Martinique,0,0,916
Latin Caribbean,Saint Martin,0,9,9
Andean,Colombia,0,107,5342
Central America,El Salvador,0,3,483
Central America,Costa Rica,0,0,0
Central America,Costa Rica,0,5,0
Central America,Costa Rica,0,2,0
Non Latin Caribbean,United States Virgin Islands,0,0,0
Non Latin Caribbean,United States Virgin Islands,0,1,0
Non Latin Caribbean,United States Virgin Islands,0,2,0
Non Latin Caribbean,Sint Maarten,0,0,0
Non Latin Caribbean,Sint Maarten,0,0,0
